COMPNOS,NatureCode,INCIDENT_TYPE_DESCRIPTION,MAIN_CRIMECODE,REPTDISTRICT,REPORTINGAREA,FROMDATE,WEAPONTYPE,Shooting,DOMESTIC,SHIFT,Year,Month,DAY_WEEK,UCRPART,X,Y,STREETNAME,XSTREETNAME,Location
120160087,ARREST,SkipFare,SkipFare,B2,304,03/19/2012 03:58:00 AM,Unarmed,No,No,Last,2012,3,Monday,Part Two,765784.27446344,2941688.40034527,WASHINGTON ST,,"(42.3194284, -71.09467816)"
120171534,LARCRT,SkipFare,SkipFare,D14,778,03/23/2012 11:30:00 PM,Unarmed,No,No,First,2012,3,Friday,Part Two,750531.39650468,2952390.80479343,WASHINGTON ST,,"(42.34898135, -71.15091453)"
120171590,IVPER ,SkipFare,SkipFare,E5,509,03/24/2012 12:13:00 AM,Unarmed,No,No,Last,2012,3,Saturday,Part Two,760087.882006,2933959.187435,UKRAINE WY,WASHINGTON ST,"(42.29829136, -71.11586955)"
120188622,DISTRB,SkipFare,SkipFare,A1,90,03/31/2012 10:19:00 PM,Other,No,No,First,2012,3,Saturday,Part Two,777508.61814069,2957659.10724893,ATLANTIC AV,,"(42.36309139, -71.05101617)"
120190209,LARCIP,SkipFare,SkipFare,D4,149,04/01/2012 07:21:00 PM,Unarmed,No,No,First,2012,4,Sunday,Part Two,770826.672133,2951159.923972,YARMOUTH ST,COLUMBUS AV,"(42.34535135, -71.07585956)"
120197060,LARCRT,SkipFare,SkipFare,D14,939,04/04/2012 04:28:00 PM,Unarmed,No,No,First,2012,4,Wednesday,Part Two,750090.52238644,2954774.17732327,FANEUIL ST,,"(42.35552635, -71.15250953)"
120198262,IVPER ,SkipFare,SkipFare,E18,493,04/05/2012 08:37:00 AM,Unarmed,No,No,Day,2012,4,Thursday,Part Two,761753.40293201,2921459.78299418,EDWARDSON ST,,"(42.26397136, -71.10992455)"
120200017,LARCRT,SkipFare,SkipFare,D14,797,04/06/2012 12:30:00 AM,Unarmed,No,No,Last,2012,4,Friday,Part Two,759132.79760894,2953383.02656227,COMMONWEALTH AV,,"(42.35160304, -71.1190792)"
120200113,DISTRB,SkipFare,SkipFare,D4,146,04/06/2012 01:05:00 AM,Unarmed,No,No,Last,2012,4,Friday,Part Two,769284.00302827,2951237.94587868,HUNTINGTON AV,,"(42.34558635, -71.08156455)"
120217393,LARCRT,SkipFare,SkipFare,C11,396,04/06/2012 05:00:00 PM,Unarmed,No,No,First,2012,4,Friday,Part Two,774581.17222394,2932030.14243086,DORCHESTER AV,,"(42.29280635, -71.06233456)"
120202173,LARCIP,SkipFare,SkipFare,D14,820,04/06/2012 09:48:00 PM,Unarmed,No,No,First,2012,4,Friday,Part Two,759503.81983277,2956294.07060894,SOLDIERS FIELD RD,,"(42.35958647, -71.11765835)"
120213523,LARCIP,SkipFare,SkipFare,A1,173,04/11/2012 10:20:00 PM,Unarmed,No,No,First,2012,4,Wednesday,Part Two,776274.8250046,2953858.91963935,SUMMER ST,,"(42.35268134, -71.05565456)"
120234979,LARCRT,SkipFare,SkipFare,A1,121,04/12/2012 02:54:00 AM,Other,No,No,Last,2012,4,Thursday,Part Two,773717.33996211,2952870.89241594,TREMONT ST,,"(42.35000634, -71.06513456)"
120216226,IVPER ,SkipFare,SkipFare,D14,773,04/13/2012 02:20:00 AM,Unarmed,No,No,Last,2012,4,Friday,Part Two,748694.47793443,2949352.61434752,RADNOR RD,,"(42.34066486, -71.15775491)"
120230232,LARCIP,SkipFare,SkipFare,B2,322,04/19/2012 04:12:00 AM,Other,No,No,Last,2012,4,Thursday,Part Two,768850.12200628,2940166.37287752,WARREN ST,,"(42.31521135, -71.08336956)"
