"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","1998","Number","Murder",0
"Ansonia","0900901220","1998","Number","Murder",0
"Ashford","0901501430","1998","Number","Murder",0
"Avon","0900302060","1998","Number","Murder",0
"Barkhamsted","0900502760","1998","Number","Murder",0
"Beacon Falls","0900903250","1998","Number","Murder",0
"Berlin","0900304300","1998","Number","Murder",0
"Bethany","0900904580","1998","Number","Murder",0
"Bethel","0900104720","1998","Number","Murder",0
"Bethlehem","0900504930","1998","Number","Murder",0
"Bloomfield","0900305910","1998","Number","Murder",0
"Bolton","0901306260","1998","Number","Murder",0
"Bozrah","0901106820","1998","Number","Murder",0
"Branford","0900907310","1998","Number","Murder",0
"Bridgeport","0900108070","1998","Number","Murder",32
"Bridgewater","0900508210","1998","Number","Murder",1
"Bristol","0900308490","1998","Number","Murder",2
"Brookfield","0900108980","1998","Number","Murder",0
"Brooklyn","0901509190","1998","Number","Murder",0
"Burlington","0900310100","1998","Number","Murder",0
"Canaan","0900510940","1998","Number","Murder",0
"Canterbury","0901512130","1998","Number","Murder",0
"Canton","0900312270","1998","Number","Murder",0
"Chaplin","0901513810","1998","Number","Murder",1
"Cheshire","0900914160","1998","Number","Murder",1
"Chester","0900714300","1998","Number","Murder",0
"Clinton","0900715350","1998","Number","Murder",0
"Colchester","0901115910","1998","Number","Murder",0
"Colebrook","0900516050","1998","Number","Murder",0
"Columbia","0901316400","1998","Number","Murder",0
"Connecticut","09","1998","Number","Murder",135
"Cornwall","0900517240","1998","Number","Murder",0
"Coventry","0901317800","1998","Number","Murder",0
"Cromwell","0900718080","1998","Number","Murder",0
"Danbury","0900118500","1998","Number","Murder",2
"Darien","0900118850","1998","Number","Murder",0
"Deep River","0900719130","1998","Number","Murder",0
"Derby","0900919550","1998","Number","Murder",0
"Durham","0900720810","1998","Number","Murder",0
"East Granby","0900322070","1998","Number","Murder",0
"East Haddam","0900722280","1998","Number","Murder",0
"East Hampton","0900722490","1998","Number","Murder",1
"East Hartford","0900322630","1998","Number","Murder",1
"East Haven","0900922910","1998","Number","Murder",0
"East Lyme","0901123400","1998","Number","Murder",0
"East Windsor","0900324800","1998","Number","Murder",0
"Eastford","0901521860","1998","Number","Murder",0
"Easton","0900123890","1998","Number","Murder",0
"Ellington","0901325360","1998","Number","Murder",0
"Enfield","0900325990","1998","Number","Murder",1
"Essex","0900726270","1998","Number","Murder",0
"Fairfield","0900126620","1998","Number","Murder",0
"Farmington","0900327600","1998","Number","Murder",1
"Franklin","0901129910","1998","Number","Murder",1
"Glastonbury","0900331240","1998","Number","Murder",2
"Goshen","0900532290","1998","Number","Murder",0
"Granby","0900332640","1998","Number","Murder",0
"Greenwich","0900133620","1998","Number","Murder",0
"Griswold","0901133900","1998","Number","Murder",0
"Groton","0901134250","1998","Number","Murder",0
"Guilford","0900934950","1998","Number","Murder",0
"Haddam","0900735230","1998","Number","Murder",0
"Hamden","0900935650","1998","Number","Murder",0
"Hampton","0901536000","1998","Number","Murder",0
"Hartford","0900337070","1998","Number","Murder",25
"Hartland","0900337140","1998","Number","Murder",0
"Harwinton","0900537280","1998","Number","Murder",0
"Hebron","0901337910","1998","Number","Murder",0
"Kent","0900540290","1998","Number","Murder",0
"Killingly","0901540500","1998","Number","Murder",1
"Killingworth","0900740710","1998","Number","Murder",0
"Lebanon","0901142390","1998","Number","Murder",0
"Ledyard","0901142600","1998","Number","Murder",0
"Lisbon","0901143230","1998","Number","Murder",0
"Litchfield","0900543370","1998","Number","Murder",0
"Lyme","0901144210","1998","Number","Murder",0
"Madison","0900944560","1998","Number","Murder",0
"Manchester","0900344700","1998","Number","Murder",0
"Mansfield","0901344910","1998","Number","Murder",0
"Marlborough","0900345820","1998","Number","Murder",0
"Meriden","0900946520","1998","Number","Murder",1
"Middlebury","0900946940","1998","Number","Murder",0
"Middlefield","0900747080","1998","Number","Murder",0
"Middletown","0900747360","1998","Number","Murder",2
"Milford","0900947535","1998","Number","Murder",0
"Monroe","0900148620","1998","Number","Murder",0
"Montville","0901148900","1998","Number","Murder",0
"Morris","0900549460","1998","Number","Murder",0
"Naugatuck","0900949950","1998","Number","Murder",0
"New Britain","0900350440","1998","Number","Murder",5
"New Canaan","0900150580","1998","Number","Murder",0
"New Fairfield","0900150860","1998","Number","Murder",0
"New Hartford","0900551350","1998","Number","Murder",0
"New Haven","0900952070","1998","Number","Murder",15
"New London","0901152350","1998","Number","Murder",3
"New Milford","0900552630","1998","Number","Murder",0
"Newington","0900352140","1998","Number","Murder",0
"Newtown","0900152980","1998","Number","Murder",0
"Norfolk","0900553470","1998","Number","Murder",0
"North Branford","0900953890","1998","Number","Murder",0
"North Canaan","0900554030","1998","Number","Murder",0
"North Haven","0900954870","1998","Number","Murder",0
"North Stonington","0901155500","1998","Number","Murder",0
"Norwalk","0900156060","1998","Number","Murder",4
"Norwich","0901156270","1998","Number","Murder",2
"Old Lyme","0901157040","1998","Number","Murder",0
"Old Saybrook","0900757320","1998","Number","Murder",0
"Orange","0900957600","1998","Number","Murder",0
"Oxford","0900958300","1998","Number","Murder",0
"Plainfield","0901559980","1998","Number","Murder",1
"Plainville","0900360120","1998","Number","Murder",0
"Plymouth","0900560750","1998","Number","Murder",0
"Pomfret","0901561030","1998","Number","Murder",0
"Portland","0900761800","1998","Number","Murder",0
"Preston","0901162150","1998","Number","Murder",0
"Prospect","0900962290","1998","Number","Murder",0
"Putnam","0901562710","1998","Number","Murder",0
"Redding","0900163480","1998","Number","Murder",1
"Ridgefield","0900163970","1998","Number","Murder",0
"Rocky Hill","0900365370","1998","Number","Murder",0
"Roxbury","0900565930","1998","Number","Murder",0
"Salem","0901166210","1998","Number","Murder",0
"Salisbury","0900566420","1998","Number","Murder",0
"Scotland","0901567400","1998","Number","Murder",0
"Seymour","0900967610","1998","Number","Murder",0
"Sharon","0900567960","1998","Number","Murder",0
"Shelton","0900168170","1998","Number","Murder",0
"Sherman","0900168310","1998","Number","Murder",0
"Simsbury","0900368940","1998","Number","Murder",2
"Somers","0901369220","1998","Number","Murder",0
"South Windsor","0900371390","1998","Number","Murder",0
"Southbury","0900969640","1998","Number","Murder",0
"Southington","0900370550","1998","Number","Murder",0
"Sprague","0901171670","1998","Number","Murder",0
"Stafford","0901372090","1998","Number","Murder",0
"Stamford","0900173070","1998","Number","Murder",3
"Sterling","0901573420","1998","Number","Murder",0
"Stonington","0901173770","1998","Number","Murder",0
"Stratford","0900174190","1998","Number","Murder",1
"Suffield","0900374540","1998","Number","Murder",0
"Thomaston","0900575730","1998","Number","Murder",0
"Thompson","0901575870","1998","Number","Murder",0
"Tolland","0901376290","1998","Number","Murder",1
"Torrington","0900576570","1998","Number","Murder",0
"Trumbull","0900177200","1998","Number","Murder",0
"Union","0901377830","1998","Number","Murder",0
"Vernon","0901378250","1998","Number","Murder",0
"Voluntown","0901178600","1998","Number","Murder",0
"Wallingford","0900978740","1998","Number","Murder",1
"Warren","0900579510","1998","Number","Murder",0
